xe   ye   ze  theta_0   theta_1   theta_2   theta_3
18 18 8 0.418224 1.492812 2.020570 0.000000 
18 18 10 0.507098 1.423062 2.099440 0.000000 
18 18 12 0.588003 1.337653 2.203723 0.000000 
18 18 14 0.661043 1.233804 2.342057 0.000000 
18 18 16 0.726642 1.102668 2.535244 0.000000 
18 18 18 0.785398 0.898079 2.881150 0.000000 
18 18 20 0.837981 0.735127 3.141593 0.000000 
18 20 20 0.837981 0.787722 3.141593 0.000000 
18 20 18 0.785398 0.825531 3.141593 0.000000 
18 20 16 0.726642 0.863892 3.141593 0.000000 
18 20 14 0.661043 1.092839 2.744592 0.000000 
18 20 12 0.588003 1.234486 2.526452 0.000000 
18 20 10 0.507098 1.335279 2.388457 0.000000 
18 20 8 0.418224 1.412738 2.291544 0.000000 
18 20 6 0.321751 1.471575 2.223099 0.000000 
18 20 4 0.218669 1.513312 2.177222 0.000000 
18 20 2 0.110657 1.538345 2.150765 0.000000 
18 20 0 0.000000 1.546697 2.142114 0.000000 
